序号,类型,query,标准答案,HKGAI-V1_答案,HKGAI-V1_评分,HKGAI-V1_理由,HKGAI-V1_准确性,HKGAI-V2_答案,HKGAI-V2_评分,HKGAI-V2_理由,HKGAI-V2_准确性
1,数学计算,1+1等于几?,2,2,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确,1 + 1 = 2。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确
2,地理知识,中国的首都是哪里?,北京,中国的首都是北京。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确,中国的首都是北京。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确
3,技术知识,Python是哪一年发布的?,1991,Python是由Guido van Rossum于1991年首次发布的。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确,Python 最早在 1991 年发布，具体日期是 1991 年 2 月 20 日，由 Guido van Rossum 首次推出。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确
4,地理知识,世界上最高的山峰是什么?,珠穆朗玛峰,世界上最高的山峰是珠穆朗玛峰。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确,世界上最高的山峰是珠穆朗玛峰（Mount Everest），其海拔约为8 848米，是地球上最高的自然点。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确
5,数学计算,2的8次方等于多少?,256,2的8次方等于256。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确,2的8次方等于 256。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确
6,技术知识,HTML的全称是什么?,HyperText Markup Language,HTML的全称是超文本标记语言(HyperText Markup Language)。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确,HTML 的全称是 **HyperText Markup Language（超文本标记语言）**。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确
7,常识问题,一年有多少天?,365,一年有365天，闰年有366天。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确,"一年通常有 365 天。  
當年份能被 4 整除且不能被 100 整除，或能被 400 整除時，稱為閏年，該年有 366 天。簡而言之：

- 平年：365 天  
- 閏年：366 天  

因此，一般情況下一年是 365 天，特殊的閏年則是 366 天。",3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确
8,天文知识,太阳系有几颗行星?,8,太阳系目前共有8颗行星，按照距离太阳由近及远的顺序分别是：水星、金星、地球、火星、木星、土星、天王星和海王星。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确,"太阳系目前被正式认定为有 **八颗行星**，分别是：

1. 水星  
2. 金星  
3. 地球  
4. 火星  
5. 木星  
6. 土星  
7. 天王星  
8. 海王星  

过去被称为第九颗行星的 **冥王星** 已在 2006 年被国际天文学联合会重新划分为矮行星，因此不计入正式的行星数量。",3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确
9,数学知识,圆周率π的前三位小数是什么?,3.14,圆周率π的前三位小数是141。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确,π的值约为 3.141 …，因此它的前三位小数是 **141**（即 3.141）。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确
10,技术知识,HTTP协议的默认端口号是多少?,80,HTTP协议的默认端口号是80。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确,HTTP 协议的默认端口号是 **80**。如果使用加密的 HTTPS，则默认端口是 **443**。,3,响应因达到最大token限制被截断，无法完整评测，给出中性评分,部分正确
