序号,类型,query,标准答案,HKGAI-V1_答案,HKGAI-V1_评分,HKGAI-V1_理由,HKGAI-V1_准确性
1,数学计算,1+1等于几?,2,1+1等于2。,,,
2,地理知识,中国的首都是哪里?,北京,中国的首都是北京。,,,
3,技术知识,Python是哪一年发布的?,1991,Python是1991年发布的。,,,
4,地理知识,世界上最高的山峰是什么?,珠穆朗玛峰,世界上最高的山峰是珠穆朗玛峰，也被称为珠峰，位于中国和尼泊尔边界，海拔8844.43米。,,,
5,数学计算,2的8次方等于多少?,256,2的8次方等于256。,,,
6,技术知识,HTML的全称是什么?,HyperText Markup Language,HTML的全称是超文本标记语言（HyperText Markup Language）。,,,
7,常识问题,一年有多少天?,365,一年通常有365天，闰年则有366天。闰年是指能被4整除但不能被100整除，或者能被400整除的年份。闰年多出的一天是2月29日。,,,
8,天文知识,太阳系有几颗行星?,8,太阳系共有8颗行星，按照距离太阳的远近排列依次是：水星、金星、地球、火星、木星、土星、天王星和海王星。,,,
9,数学知识,圆周率π的前三位小数是什么?,3.14,圆周率π的前三位小数是141。,,,
10,技术知识,HTTP协议的默认端口号是多少?,80,HTTP协议的默认端口号是80。,,,
